timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788199637.0085607,mouse_move,,400,498,
1788199637.0164914,mouse_move,,397,493,
1788199637.0245893,mouse_move,,394,489,
1788199637.0325737,mouse_move,,388,484,
1788199637.0405412,mouse_move,,388,480,
1788199637.0485342,mouse_move,,386,474,
1788199637.0566118,mouse_move,,381,467,
1788199637.06464,mouse_move,,378,460,
1788199637.0724983,mouse_move,,376,457,
1788199637.0805619,mouse_move,,369,450,
1788199637.088541,mouse_move,,363,447,
1788199637.0965915,mouse_move,,357,446,
1788199637.1045544,mouse_move,,347,440,
1788199637.1125631,mouse_move,,334,438,
1788199637.1206615,mouse_move,,320,436,
1788199637.1285388,mouse_move,,311,432,
1788199637.1364686,mouse_move,,297,432,
1788199637.1445384,mouse_move,,289,431,
1788199637.1526048,mouse_move,,278,431,
1788199637.1605358,mouse_move,,270,431,
1788199637.168635,mouse_move,,259,431,
1788199637.176529,mouse_move,,253,431,
1788199637.1845584,mouse_move,,247,431,
1788199637.1924827,mouse_move,,236,433,
1788199637.2006001,mouse_move,,222,442,
1788199637.2084837,mouse_move,,207,452,
1788199637.2164655,mouse_move,,197,460,
1788199637.22447,mouse_move,,188,467,
1788199637.2325656,mouse_move,,175,482,
1788199637.2405045,mouse_move,,165,492,
1788199637.2485657,mouse_move,,157,507,
1788199637.2565572,mouse_move,,153,516,
1788199637.264505,mouse_move,,145,528,
1788199637.2725215,mouse_move,,139,540,
1788199637.2804885,mouse_move,,133,554,
1788199637.2885835,mouse_move,,123,566,
1788199637.2965627,mouse_move,,121,577,
1788199637.3044999,mouse_move,,119,586,
1788199637.3126266,mouse_move,,119,597,
1788199637.3205934,mouse_move,,122,606,
1788199637.3284836,mouse_move,,130,618,
1788199637.3364944,mouse_move,,133,624,
1788199637.3445249,mouse_move,,139,634,
1788199637.3525453,mouse_move,,144,641,
1788199637.3604753,mouse_move,,149,648,
1788199637.3685951,mouse_move,,155,659,
1788199637.376542,mouse_move,,158,664,
1788199637.3845515,mouse_move,,164,666,
1788199637.3924773,mouse_move,,174,673,
1788199637.4005253,mouse_move,,183,677,
1788199637.4084585,mouse_move,,195,681,
1788199637.416506,mouse_move,,208,683,
1788199637.4244692,mouse_move,,230,685,
1788199637.4324737,mouse_move,,246,685,
1788199637.4405193,mouse_move,,270,685,
1788199637.4485707,mouse_move,,299,685,
1788199637.4565575,mouse_move,,328,685,
1788199637.4644618,mouse_move,,364,685,
1788199637.472498,mouse_move,,413,685,
1788199637.4804792,mouse_move,,471,676,
1788199637.4884682,mouse_move,,551,662,
1788199637.496512,mouse_move,,618,655,
1788199637.5045023,mouse_move,,691,644,
1788199637.5125024,mouse_move,,775,634,
1788199637.5205069,mouse_move,,854,623,
1788199637.528516,mouse_move,,944,608,
1788199637.5365381,mouse_move,,1033,597,
1788199637.5444784,mouse_move,,1112,586,
1788199637.552546,mouse_move,,1207,571,
1788199637.560548,mouse_move,,1298,552,
1788199637.5685246,mouse_move,,1376,541,
1788199637.5765002,mouse_move,,1457,523,
1788199637.5846348,mouse_move,,1538,497,
1788199637.59247,mouse_move,,1628,486,
1788199637.6005826,mouse_move,,1703,468,
